s,r,Reputation,Prediction,fdk_val,Response,value,trial,fdk_val_1b
sub-1028,1,Mean60,1,0,2,1,1,1
sub-1028,1,Nice80,1,1,3,1,2,1
sub-1028,1,Mean80,0,0,2,1,3,1
sub-1028,1,Nice60,1,1,3,1,4,1
sub-1028,1,Mean60,NA,0,3,1,5,1
sub-1028,1,Nice80,0,1,NA,1,6,2
sub-1028,1,Mean80,1,0,4,1,7,1
sub-1028,1,Nice60,0,1,2,1,8,2
sub-1028,1,Mean60,0,1,3,1,9,1
sub-1028,1,Nice80,0,1,NA,1,10,2
sub-1028,1,Mean80,1,0,2,1,11,1
sub-1028,1,Nice60,NA,0,NA,1,12,2
sub-1028,1,Mean60,1,0,2,1,13,2
sub-1028,1,Nice80,1,1,2,1,14,2
sub-1028,1,Mean80,0,0,2,1,15,1
sub-1028,1,Nice60,1,1,3,1,16,1
sub-1028,1,Mean60,1,0,3,1,17,1
sub-1028,1,Nice80,1,1,3,1,18,2
sub-1028,1,Mean80,0,1,3,1,19,1
sub-1028,1,Nice60,NA,0,2,1,20,2
sub-1028,1,Mean60,1,1,NA,1,21,1
sub-1028,1,Nice80,1,1,NA,1,22,2
sub-1028,1,Mean80,NA,0,3,1,23,2
sub-1028,1,Nice60,NA,1,1,1,24,1
sub-1028,1,Mean60,0,1,2,1,25,2
sub-1028,1,Nice80,1,0,2,1,26,2
sub-1028,1,Mean80,1,0,NA,1,27,1
sub-1028,1,Nice60,NA,1,3,1,28,2
sub-1028,1,Mean60,0,0,1,1,29,2
sub-1028,1,Nice80,NA,1,NA,1,30,1
sub-1028,1,Mean80,0,0,2,1,31,1
sub-1028,1,Nice60,0,0,2,1,32,2
sub-1028,2,Mean60,0,1,4,1,33,1
sub-1028,2,Nice80,1,1,3,1,34,2
sub-1028,2,Mean80,1,1,3,1,35,1
sub-1028,2,Nice60,1,1,3,1,36,1
sub-1028,2,Mean60,1,0,NA,1,37,2
sub-1028,2,Nice80,1,1,3,1,38,2
sub-1028,2,Mean80,NA,0,1,1,39,2
sub-1028,2,Nice60,1,0,4,1,40,2
sub-1028,2,Mean60,1,1,3,1,41,1
sub-1028,2,Nice80,1,0,NA,1,42,2
sub-1028,2,Mean80,0,0,1,1,43,1
sub-1028,2,Nice60,0,0,2,1,44,1
sub-1028,2,Mean60,1,0,3,1,45,2
sub-1028,2,Nice80,1,1,NA,1,46,1
sub-1028,2,Mean80,1,0,2,1,47,1
sub-1028,2,Nice60,NA,1,3,1,48,1
sub-1028,2,Mean60,1,0,1,1,49,1
sub-1028,2,Nice80,1,1,3,1,50,2
sub-1028,2,Mean80,1,0,2,1,51,1
sub-1028,2,Nice60,0,0,2,1,52,2
sub-1028,2,Mean60,NA,1,2,1,53,1
sub-1028,2,Nice80,NA,1,3,1,54,2
sub-1028,2,Mean80,1,0,2,1,55,1
sub-1028,2,Nice60,1,0,3,1,56,1
sub-1028,2,Mean60,0,1,2,1,57,2
sub-1028,2,Nice80,NA,1,NA,1,58,2
sub-1028,2,Mean80,1,0,2,1,59,1
sub-1028,2,Nice60,NA,0,2,1,60,1
sub-1028,2,Mean60,1,0,1,1,61,2
sub-1028,2,Nice80,1,0,1,1,62,2
sub-1028,2,Mean80,1,1,3,1,63,1
sub-1028,2,Nice60,1,1,3,1,64,1
sub-1028,3,Mean60,0,0,NA,1,65,1
sub-1028,3,Nice80,0,1,4,2,66,1
sub-1028,3,Mean80,0,0,1,1,67,2
sub-1028,3,Nice60,0,1,4,1,68,2
sub-1028,3,Mean60,0,0,4,1,69,1
sub-1028,3,Nice80,0,1,4,2,70,2
sub-1028,3,Mean80,0,0,1,1,71,1
sub-1028,3,Nice60,1,0,1,1,72,2
sub-1028,3,Mean60,1,0,1,1,73,1
sub-1028,3,Nice80,0,1,4,2,74,2
sub-1028,3,Mean80,0,0,2,1,75,1
sub-1028,3,Nice60,1,0,1,1,76,1
sub-1028,3,Mean60,0,1,1,1,77,1
sub-1028,3,Nice80,0,1,2,2,78,2
sub-1028,3,Mean80,1,0,2,1,79,1
sub-1028,3,Nice60,0,1,3,1,80,1
sub-1028,3,Mean60,0,1,3,1,81,2
sub-1028,3,Nice80,0,0,NA,2,82,2
sub-1028,3,Mean80,1,1,4,1,83,1
sub-1028,3,Nice60,0,0,3,1,84,2
sub-1028,3,Mean60,1,0,1,1,85,2
sub-1028,3,Nice80,0,1,NA,2,86,1
sub-1028,3,Mean80,0,0,2,1,87,2
sub-1028,3,Nice60,NA,1,NA,1,88,1
sub-1028,3,Mean60,0,1,1,1,89,1
sub-1028,3,Nice80,NA,1,2,2,90,2
sub-1028,3,Mean80,0,0,2,1,91,1
sub-1028,3,Nice60,1,0,2,1,92,2
sub-1028,3,Mean60,1,0,2,1,93,2
sub-1028,3,Nice80,0,1,1,2,94,2
sub-1028,3,Mean80,0,0,1,1,95,1
sub-1028,3,Nice60,1,1,2,1,96,1
sub-1028,4,Mean60,1,1,2,4,97,1
sub-1028,4,Nice80,1,1,1,1,98,2
sub-1028,4,Mean80,1,0,1,1,99,1
sub-1028,4,Nice60,1,1,3,1,100,2
sub-1028,4,Mean60,0,0,2,4,101,2
sub-1028,4,Nice80,0,1,4,1,102,2
sub-1028,4,Mean80,1,0,2,1,103,1
sub-1028,4,Nice60,1,0,2,1,104,2
sub-1028,4,Mean60,NA,1,NA,4,105,1
sub-1028,4,Nice80,1,1,3,1,106,2
sub-1028,4,Mean80,1,1,3,1,107,1
sub-1028,4,Nice60,1,1,3,1,108,1
sub-1028,4,Mean60,NA,0,3,4,109,2
sub-1028,4,Nice80,1,0,2,1,110,2
sub-1028,4,Mean80,1,0,2,1,111,2
sub-1028,4,Nice60,1,1,3,1,112,2
sub-1028,4,Mean60,NA,0,2,4,113,1
sub-1028,4,Nice80,1,1,1,1,114,1
sub-1028,4,Mean80,NA,0,2,1,115,1
sub-1028,4,Nice60,1,0,2,1,116,2
sub-1028,4,Mean60,1,1,NA,4,117,1
sub-1028,4,Nice80,NA,1,NA,1,118,2
sub-1028,4,Mean80,1,0,2,1,119,1
sub-1028,4,Nice60,NA,1,NA,1,120,1
sub-1028,4,Mean60,NA,1,NA,4,121,2
sub-1028,4,Nice80,NA,1,NA,1,122,2
sub-1028,4,Mean80,NA,1,2,1,123,1
sub-1028,4,Nice60,1,0,1,1,124,2
sub-1028,4,Mean60,1,0,2,4,125,2
sub-1028,4,Nice80,1,0,1,1,126,2
sub-1028,4,Mean80,0,0,1,1,127,2
sub-1028,4,Nice60,1,1,4,1,128,1
sub-1055,1,Mean60,1,0,2,3,1,1
sub-1055,1,Nice80,1,1,4,2,2,1
sub-1055,1,Mean80,0,0,1,3,3,1
sub-1055,1,Nice60,1,1,3,3,4,1
sub-1055,1,Mean60,1,0,3,3,5,1
sub-1055,1,Nice80,1,1,3,2,6,2
sub-1055,1,Mean80,0,0,2,3,7,1
sub-1055,1,Nice60,1,1,4,3,8,2
sub-1055,1,Mean60,0,1,3,3,9,1
sub-1055,1,Nice80,1,1,3,2,10,2
sub-1055,1,Mean80,0,0,2,3,11,1
sub-1055,1,Nice60,1,0,1,3,12,2
sub-1055,1,Mean60,1,0,2,3,13,2
sub-1055,1,Nice80,1,1,2,2,14,2
sub-1055,1,Mean80,0,0,2,3,15,1
