roi_key,roi_name,mni_x,mni_y,mni_z,n_voxels,n_obs,n_subjects,b_run,b_SA,b_interaction,t_run,t_SA,t_interaction,p_run,p_SA,p_interaction,p_SA_perm,p_interaction_perm,method,rho_run1,rho_run2,rho_run3,rho_run4,q_interaction_fdr,q_SA_fdr
IFG_R,R inferior frontal gyrus,48,24,2,170,132,33,-0.06349477930237825,0.01576133120996378,0.010804601563854967,-1.618730379645799,1.5015114909005625,1.150799136827282,0.1079667422986112,0.13568620132964798,0.2519601541562145,0.10528947105289471,0.3468653134686531,ols,0.3142857142857143,0.05454545454545456,0.18441558441558437,0.09264069264069265,0.7404451862506056,0.5131361863813618
HC_L,L hippocampus,-24,-18,-17,171,132,33,-0.006445544834981262,0.018204418185294866,0.013508360012028327,-0.13700787210710477,1.4459789018831268,1.1996174814128358,0.8912398421034333,0.1506272393100913,0.2325037413305559,0.09529047095290472,0.27647235276472354,ols,0.07532467532467532,-0.12554112554112554,0.21212121212121213,-0.012987012987012991,0.7404451862506056,0.5131361863813618
HC_R,R hippocampus,25,-19,-15,171,132,33,-0.02937002114954009,0.009348940658044919,0.01099569797416091,-0.5062213992768709,0.6021405973688085,0.7917960206117407,0.6135720222614378,0.5481457076770234,0.42994451659452515,0.5984401559844016,0.5363463653634637,ols,0.06493506493506492,-0.0025974025974025983,0.004329004329004331,0.06320346320346319,0.7404451862506056,0.8378162183781622
rACC,Rostral ACC,-3,41,4,171,132,33,-0.053152503318772436,0.0053145379230671135,0.023666418465317293,-1.441687074807876,0.5386566890410924,2.6818475874375842,0.15183281992935918,0.5910593189899205,0.008287141282982245,0.585041495850415,0.0108989101089891,ols,0.15670995670995672,0.058008658008658,0.07705627705627704,0.011255411255411255,0.19073092690730925,0.8378162183781622
vmPFC,vmPFC,2,45,-15,171,132,33,0.019628136825080834,0.016717077265470625,0.012341941688261743,0.4649426677449586,1.4797213549272914,1.2214004858143936,0.6427624842069242,0.14140464074997733,0.2241792687797375,0.08089191080891911,0.198980101989801,ols,0.09264069264069263,0.016450216450216444,0.2121212121212121,0.0406926406926407,0.7404451862506056,0.5131361863813618
AM_R,R amygdala,23,-3,-18,171,132,33,0.015544377413134976,0.028786429849739198,0.013936219658723947,0.23165987743563934,1.6031145705329906,0.8677142799506642,0.8171721316121525,0.11137418550687167,0.3871746315066247,0.0658934106589341,0.32266773322667736,ols,0.04069264069264069,-0.026839826839826844,0.07532467532467532,-0.014718614718614714,0.7404451862506056,0.5131361863813618
AM_L,L amygdala,-21,-4,-18,171,132,33,-0.020002600353220937,0.0035790219475593855,0.02514429782006719,-0.4274614172672058,0.28580780875624884,2.2449374618504736,0.669761530406509,0.7754873377084779,0.026488423850024295,0.8068193180681932,0.025897410258974102,ols,0.10822510822510821,0.03203463203463202,0.03722943722943723,0.02857142857142858,0.30213645302136455,0.8813118688131187
NAC_L,L nucleus accumbens,-13,11,-8,171,132,33,-0.0029216777289135763,-0.011743606164432568,0.006831997876446899,-0.07610382229438616,-1.1430754648543726,0.7434917503657965,0.9394553212179229,0.25514071697608404,0.4585465416633566,0.2692730726927307,0.48025197480251974,ols,0.09956709956709954,-0.09783549783549783,0.04588744588744589,0.05281385281385281,0.7404451862506056,0.6032521747825218
NAC_R,R nucleus accumbens,11,10,-7,171,132,33,0.008530193991588166,-0.004919660284974033,0.0035790727883681294,0.16024129583148636,-0.34534241391694964,0.2808926290931805,0.8729436061722855,0.7304038348115065,0.7792462826067861,0.7535246475352465,0.8226177382261773,ols,-0.023376623376623367,-0.01125541125541126,0.17575757575757578,0.035497835497835487,0.8724733587247335,0.8791120887911209
MTG_L,L middle temporal gyrus,-56,-14,-13,171,132,33,-0.04444744839820231,0.019875951092494373,-0.003028532883464133,-1.0595043354917093,1.770447644930701,-0.30160773075066466,0.29136538076516333,0.07903316054782547,0.7634405681430794,0.11728827117288271,0.7812218778122187,ols,0.27445887445887446,0.0683982683982684,0.27619047619047615,0.08225108225108226,0.8544614288571143,0.5131361863813618
